recipe_id,recipe_name,receipe_alt_name,instructions,section id,section_name,ingrediant_row_id,ingrediant_id,ingrediant_name,ingrediant_qty,measure_unit,pack_type,pack_qty,to_order_unit_qty
28,עוף בקארי מאסמן,,tbd,1,מתכון,405,104,צ׳ילי מיובש שלם,2,יחידה,אריזה,50,0.04
22,סלט שרימפס ופומלה,,tbd,2,סלט,311,104,צ׳ילי מיובש שלם,8,יחידה,אריזה,50,0.16
29,עוף קונג פאו,,tbd,1,מנה,427,104,צ׳ילי מיובש שלם,10,יחידה,אריזה,50,0.2
1,סלט בורגול ועשבים,טבולה,tbd,1,מתכון,14,105,צימוקי אוכמניות,20,גרם,אריזה,50,0.4
49,חזה אווז וכבד עם כרוב סגול,,tbd,2,כרוב,695,105,צימוקי אוכמניות,40,גרם,אריזה,50,0.8
46,ביף וולינגטון,,tbd,4,רוטב,657,106,ציר בקר,100,גרם,במשקל,200,0.5
26,"אנטריקוט צלוי, רוטב פלפל ותפוחי אדמה",,tbd,2,רוטב,375,106,ציר בקר,200,גרם,במשקל,200,1
40,ביף בורגיניון,,tbd,2,רוטב,563,106,ציר בקר,300,גרם,במשקל,200,1.5
24,פילה בקר בחוט,,tbd,1,מתכון,335,106,ציר בקר,500,גרם,במשקל,500,1
32,ריזוטו אדום עם קלמרי,,tbd,1,מתכון,456,157,ציר דגים,350,גרם,גרם,350,1
5,"מרק קוקוס, גלנגל ועוף",Tom Ka Gai,tbd,1,מתכון,55,107,ציר עוף,250,גרם,במשקל,250,1
31,ריזוטו לבן עם פטריות,,tbd,1,ריזוטו,437,107,ציר עוף,400,גרם,במשקל,250,1.6
11,סלט ניסואז,Salade Nicoise,tbd,1,מתכון,131,108,צלפים,0.5,כפית,צנצנת,20,0.025
20,שרימפס פריך ברוטב גריביש,,tbd,4,גריביש,271,108,צלפים,1,כפית,צנצנת,20,0.05
1,סלט בורגול ועשבים,טבולה,tbd,1,מתכון,2,109,קולורבי,1,יחידה,יחידה,1,1
48,טרין כבד אווז ועוף עם צ׳אטני תפוחים,,tbd,1,מתכון,678,196,קוניאק,2,כף,בקבוק,750,0.002666666667
29,עוף קונג פאו,,tbd,1,משרה,414,110,קורנפלור,1,כף,אריזה,100,0.01
15,טארט בורדלו,Tarte Bourdaloue,tbd,3,מלית,198,110,קורנפלור,10,גרם,אריזה,100,0.1
38,פחזניות עם קרם דיפלומט,,tbd,2,קרם דיפלומט,536,110,קורנפלור,25,גרם,אריזה,100,0.25
47,ואשראן,,tbd,3,קצפת,671,197,קירש/אלכוול פטל,1,כף,בקבוק,750,0.001333333333
32,ריזוטו אדום עם קלמרי,,tbd,1,מתכון,461,161,קלאמרי,3,יחידה,יחידה,1,3
40,ביף בורגיניון,,tbd,2,רוטב,565,111,קמח,1,כפית,אריזה,1000,0.001
42,בצק עלים,,tbd,2,קיפול,593,111,קמח,10,גרם,אריזה,1000,0.01
8,ביצים בנוסח פלורנטין,,tbd,2,בורנאי: בשמל + פרמז׳ן,95,111,קמח,15,גרם,אריזה,1000,0.015
9,"ביצה עלומה, האש בראון ובייקון בקרמל",,tbd,2,האש בראון,106,111,קמח,17,גרם,אריזה,1000,0.017
20,שרימפס פריך ברוטב גריביש,,tbd,2,ציפוי,257,111,קמח,40,גרם,אריזה,1000,0.04
41,סופלה פרלינה עם רוטב קרמל מלוח,,tbd,1,מתכון,578,111,קמח,50,גרם,אריזה,1000,0.05
37,בצק רבוך,,tbd,1,מתכון,530,111,קמח,75,גרם,אריזה,1000,0.075
46,ביף וולינגטון,,tbd,3,קרפ,640,111,קמח,75,גרם,אריזה,1000,0.075
39,ניוקי פריזאי עם ירקות ירוקים,,tbd,1,מתכון,542,111,קמח,100,גרם,אריזה,1000,0.1
15,טארט בורדלו,Tarte Bourdaloue,tbd,2,בצק,189,111,קמח,150,גרם,אריזה,1000,0.15
16,טארט לימון,,tbd,2,בצק,207,111,קמח,150,גרם,אריזה,1000,0.15
14,קיש לוריין,Quiche Lorraine,tbd,2,בצק,175,111,קמח,160,גרם,אריזה,1000,0.16
42,בצק עלים,,tbd,1,דטרומפ,587,111,קמח,600,גרם,אריזה,1000,0.6
34,טורטליני דלעת צלויה בחמאת מרווה,,tbd,1,בצק פסטה,476,198,קמח דורום,50,גרם,אריזה,1000,0.05
35,כרבולות תרנגול בתפו״א ומנטה,,tbd,2,בצק פסטה ירוק,499,199,קמח דורום,10,גרם,אריזה,1000,0.01
